equipmentId,year,ambient_bias,heatRunTest_deltaTopOil,heatRunTest_deltaHotspot,heatRunTest_x,heatRunTest_y,heatRunTest_h,MAE,RMSE,Bias,R2,n
24917,2024,1.9999995506703518,64.56849959843191,55.42614030360868,0.6000000000002572,1.7138164722567404,1.1133233445226813,3.693901948086394,4.724329820297218,-0.12784386638955803,0.3839529380739394,14664
33291,2024,1.9999999999999998,79.99999999999999,54.80284873445996,0.6906757388688048,1.7968811427033875,1.2174514611294966,2.2265058260247206,2.7853690071604116,-0.04580965877509248,0.7142748869834074,14664
5004597,2024,-1.9999999996773776,79.99994096964924,40.10981369386829,0.6650530952578942,2.1999999999999997,1.2071181387990517,2.447729150030248,3.6892212816279173,-0.3262168975107906,0.6368614652361073,14664
5004625,2024,-1.999999999104931,79.99999999847157,39.84247583143871,0.6585151259061137,2.1999999999561983,1.2981665335581554,2.603723073086421,3.923534208395805,-0.2408327561656091,0.6262693243679277,14664
5017843,2024,1.9999999999638818,64.90370571306391,67.91360683254642,0.8193517679032726,0.8000000000000002,1.0553495621774118,1.7092217108579528,2.190427381342152,-0.02391875525007323,0.8733239024628253,14664
5017873,2024,1.149034567109104,79.99999808009962,50.410185775263884,0.799413417858988,2.1999999999999917,1.1287177127650154,2.1028529592772007,2.6934762102521623,-0.038714349939593946,0.720845892272554,14664
5025312,2024,1.9999999999961926,79.99999999996844,54.170226741229996,0.6000000000000926,1.0152713823159507,1.1119411090728868,2.116322287190265,2.6168078024707686,-0.04708593226143671,0.7855757270897081,14664
5026188,2024,1.7104799685239798,65.45399536745516,48.438839861127384,0.6000000008366925,2.1999999999999997,1.2941674348887304,2.1437977555657244,2.689614038547819,-0.04580890701482747,0.6946900905180382,14664
5027447,2024,1.9999999999895162,79.99999999910895,54.49972879363207,0.6000000000000231,1.5802332362075633,1.238549424778799,4.1110985444975325,6.36675011085351,-0.32655043531834926,0.3005824362192784,14664
5030256,2024,1.9999999999999998,16.03052736935892,75.60973777794807,0.6000000000000001,0.8000000000000002,0.9812855381097566,5.316728451490994,6.648210306475537,-0.9172750035248917,0.04434950411103833,14664
50033827,2024,1.768741890882638,79.99999999400286,61.24401634977143,0.6000000000008656,2.1999999998795055,1.2120112851091218,3.2698173193150084,4.0216240997437165,0.05317774900946246,0.4496457120347428,14664
50249457,2024,1.9999999999999998,53.207585984222085,67.81283610983725,0.6000000000000001,0.8000000000000002,1.094691968133547,4.348697309236285,5.31023131499303,-0.4587535501782831,0.5290693621970907,14664
50250035,2024,1.9999999999961486,79.99999999552998,77.41795547304073,0.6000000000285688,0.8000000012011078,1.187492960982479,3.06026444708692,4.507899382358399,-0.45864969986783116,0.5662398345928288,14664
50277055,2024,1.9999525912398974,78.52539769965546,68.25900114072508,0.6000000000045352,2.011951719374609,1.1164344960600445,4.479800035812803,5.755408792739777,-0.15065159373225442,0.47491607341717357,14664
50282127,2024,1.9999999999999998,41.000804920042434,59.748714153594825,0.6000000000000001,0.8000000000000002,1.0316926706697696,3.790920372733808,4.978316678372817,-0.27073447333922124,0.26994286465160644,14664
