equipmentId,year,heatRunTest_deltaTopOil,heatRunTest_deltaHotspot,heatRunTest_x,heatRunTest_y,heatRunTest_h,MAE,RMSE,Bias,R2,n
24917,2024,74.30568131631242,57.294579227745615,0.6000001061845871,1.6674099697555156,1.0906394992963824,3.6970622239729867,4.726610541664779,-0.1269729734890215,0.3833579877219754,14664
33291,2024,79.99999999997519,54.7060234103261,0.6370754696777232,1.735782132944319,1.2251708076046104,2.2285155249023982,2.788939062078434,-0.04589861537326079,0.7135419801026164,14664
5004597,2024,79.9999999891582,43.198564316447076,0.722062230020315,2.1999999999999997,1.2003879464794376,2.4488648325218283,3.689683228739509,-0.32467839385547836,0.6367705185094557,14664
5004625,2024,79.99999995446491,40.725332420302784,0.7157560645283505,2.1999999999999997,1.1979462837943466,2.606412098287401,3.9281721508058474,-0.23897256788550553,0.625385240919256,14664
5017843,2024,61.933585807817494,64.23883095304252,0.708594480611668,0.8000000000000995,1.0368680795122804,1.710261396414287,2.192043034603959,-0.02427831287662544,0.8731369616566915,14664
5017873,2024,79.99999943174562,47.34457111034526,0.7582146784982573,2.1999999999999997,1.1454111110372105,2.102715634119207,2.6931128584363657,-0.03976490420816601,0.7209212033593774,14664
5025312,2024,79.99999999999999,52.88308849683873,0.600000000000004,1.4082405007331154,1.273755295962039,2.1465673676992822,2.6517766938910805,-0.09676991545192704,0.7798066531102108,14664
5026188,2024,74.04732260319618,48.17171078657204,0.6000000048904239,2.1429687639300408,1.2937708317469674,2.1432577607714434,2.69262224069161,-0.0480154319116166,0.6940067601049512,14664
5027447,2024,79.99999999999984,50.377209611838026,0.6000000000056414,2.1999999992643087,1.2751989334408327,4.1914124799515715,6.506744893802084,-0.9681925463385663,0.26948609841759885,14664
5030256,2024,9.774465763944162,77.18685350912041,0.6000000000000001,0.8000000000000002,0.9970112958936175,5.481596300913072,6.851085578487429,-1.065291484082327,-0.014865235332268911,14664
50033827,2024,79.9999999999998,69.63535630627169,0.6000000000001307,2.199999999982268,1.141002279949305,3.40380776589727,4.136842129632524,-0.5487915040262519,0.4176590906203207,14664
50249457,2024,62.353572723230414,72.967648654792,0.6000000000005942,0.8000000000285635,1.133264465493343,4.489504233760083,5.462242259373832,-0.5589830440096597,0.5017216902719641,14664
50250035,2024,79.99999999999999,82.99151986570543,0.6000000000000001,0.8000000000000033,1.2169631464178254,3.2702495414173987,4.781490099032989,-1.1734663049349217,0.5119910806388406,14664
50277055,2024,27.133144545986394,67.13538741787143,0.6000000000000005,0.8000000000000055,1.084209013049298,4.556021542092349,5.857957992786661,-0.3830378037294804,0.4560376035147752,14664
50282127,2024,50.67333340498331,65.10813126023284,0.6000000000000001,0.8000000000000005,1.0686990817552653,3.8445166764632615,5.053209882865894,-0.27489275582390954,0.2478118537473638,14664
