,equipmentId,year_fit,year_og,year_diff,n,s_fit,pf_fit,ambient_bias_fit,heatRunTest_deltaTopOil_fit,heatRunTest_deltaHotspot_fit,heatRunTest_x_fit,heatRunTest_y_fit,heatRunTest_h_fit,heatRunTest_copperLosses_fit,heatRunTest_noLoadLosses_fit,nominalLoad_fit,MAE_fit,RMSE_fit,Bias_fit,R2_fit,s_og,pf_og,ambient_bias_og,heatRunTest_deltaTopOil_og,heatRunTest_deltaHotspot_og,heatRunTest_x_og,heatRunTest_y_og,heatRunTest_h_og,heatRunTest_copperLosses_og,heatRunTest_noLoadLosses_og,nominalLoad_og,MAE_og,RMSE_og,Bias_og,R2_og,error,s_diff,pf_diff,ambient_bias_diff,heatRunTest_deltaTopOil_diff,heatRunTest_deltaHotspot_diff,heatRunTest_x_diff,heatRunTest_y_diff,heatRunTest_h_diff,heatRunTest_copperLosses_diff,heatRunTest_noLoadLosses_diff,nominalLoad_diff,MAE_diff,RMSE_diff,Bias_diff,R2_diff
10,50033827,2024.0,2008.0,16.0,14664.0,1.6511559002324124e-21,1.0,0.0,54.1,67.4,0.73,1.48,1.13,186.51,16.37,40.0,9.57691986195348,10.420192300099295,-9.557369511619347,-2.694799468954338,0.0,1.0,0.0,54.1,67.4,0.73,1.48,1.13,186.51,16.37,40.0,9.57691986195348,10.420192300099295,-9.557369511619347,-2.694799468954338,,1.6511559002324124e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,50249457,2024.0,2011.0,13.0,14664.0,3.5548216071437076e-21,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,9.5,25.0,7.61933732320644,8.899492525945051,-6.987040629592726,-0.3226975590104886,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,9.5,25.0,7.61933732320644,8.899492525945051,-6.987040629592726,-0.3226975590104886,,3.5548216071437076e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,50250035,2024.0,2013.0,11.0,14664.0,1.200691433211933e-21,1.0,0.0,51.0,70.0,0.75,1.41,1.19,156.87,10.11,25.0,10.556226273177474,11.458220557409955,-10.525468190860009,-1.8024352907098726,0.0,1.0,0.0,51.0,70.0,0.75,1.41,1.19,156.87,10.11,25.0,10.556226273177474,11.458220557409955,-10.525468190860009,-1.8024352907098726,,1.200691433211933e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,50277055,2024.0,2013.0,11.0,14664.0,1.26646521660697e-21,1.0,0.0,46.8,62.8,0.72,1.32,1.16,149.18,15.51,40.0,10.418234128937272,11.865488449541461,-10.292295112198817,-1.23176064093864,0.0,1.0,0.0,46.8,62.8,0.72,1.32,1.16,149.18,15.51,40.0,10.418234128937272,11.865488449541461,-10.292295112198817,-1.23176064093864,,1.26646521660697e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,50282127,2024.0,2015.0,9.0,14664.0,5.2620965420590144e-21,1.0,0.0,46.8,62.8,0.72,1.32,1.16,149.18,15.51,40.0,6.797240291248189,8.017658096909624,-6.050854741055837,-0.8935940317771218,0.0,1.0,0.0,46.8,62.8,0.72,1.32,1.16,149.18,15.51,40.0,6.797240291248189,8.017658096909624,-6.050854741055837,-0.8935940317771218,,5.2620965420590144e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,24917,2024.0,1997.0,27.0,14664.0,0.0,0.9986862188444864,0.0,54.8,72.0,0.73,1.4,1.3,200.4,15.6,40.0,4.737658204318531,5.781722971581025,-1.538587910424436,0.07732653840495829,0.0,1.0,0.0,54.8,72.0,0.73,1.4,1.3,200.4,15.6,40.0,4.737508713336393,5.781922544447535,-1.5732982551534136,0.07726283982702198,,0.0,-0.0013137811555136159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014949098213801193,-0.00019957286651006712,0.034710344728977605,6.369857793631084e-05
1,33291,2024.0,1998.0,26.0,14664.0,0.0,0.8000000000000002,0.0,47.9,65.4,0.74,1.43,1.3,244.3,19.97,50.0,4.649039587919232,5.507309617547648,-3.5066862203176177,-0.11702250037638251,0.0,1.0,0.0,47.9,65.4,0.74,1.43,1.3,244.3,19.97,50.0,6.079759353714199,6.772061434641364,-6.000365133537553,-0.6889808051820201,,0.0,-0.19999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4307197657949677,-1.2647518170937158,2.4936789132199353,0.5719583048056376
2,5004597,2024.0,2001.0,23.0,14664.0,0.0,0.9283672149891632,0.0,48.9,65.7,0.62,1.98,1.3,216.05,16.15,40.0,2.8357582114974,4.194253121237746,-1.4082088005672788,0.5306333815066784,0.0,1.0,0.0,48.9,65.7,0.62,1.98,1.3,216.05,16.15,40.0,2.870896387484958,4.253589330448526,-1.8763935344814813,0.5172591594532627,,0.0,-0.07163278501083681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035138175987558196,-0.05933620921078031,0.46818473391420246,0.013374222053415652
3,5004625,2024.0,2001.0,23.0,14664.0,0.0,0.9038666225841818,0.0,48.9,65.7,0.62,1.98,1.3,223.28,16.02,40.0,3.0261146226865705,4.345296085912205,-1.3204806438460175,0.5416021122643566,0.0,1.0,0.0,48.9,65.7,0.62,1.98,1.3,223.28,16.02,40.0,3.081849102951487,4.448062809240475,-1.9279424062463928,0.5196633982197425,,0.0,-0.09613337741581818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05573448026491645,-0.10276672332827008,0.6074617624003753,0.021938714044614116
4,5017843,2024.0,2005.0,19.0,14664.0,0.0,0.8000000000000003,0.0,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,4.899282330025263,5.358262345131221,-4.8047912885324005,0.24197260230170692,0.0,1.0,0.0,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,5.3513484069639485,5.765622152884834,-5.330528353407116,0.12233392464844728,,0.0,-0.19999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45206607693868595,-0.4073598077536129,0.5257370648747157,0.11963867765325964
